Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
51,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
52,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
53,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
54,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
55,ConserveBet3,12.0,10,6.0,4,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
56,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
57,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
58,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
59,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
60,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
61,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
62,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
63,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
64,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
65,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
66,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
67,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
68,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
69,ConserveBet3,12.0,10,6.0,5,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
70,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
71,ConserveBet3,12.0,10,6.0,10,6.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
72,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
73,ConserveBet3,12.0,10,6.0,10,28.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
74,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
75,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
76,ConserveBet3,12.0,10,6.0,7,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
77,ConserveBet3,12.0,10,6.0,9,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
78,ConserveBet3,12.0,10,6.0,8,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
79,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
80,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
81,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
82,ConserveBet3,12.0,10,6.0,10,22.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
83,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
84,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
85,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
86,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
87,ConserveBet3,12.0,10,6.0,9,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
88,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
89,ConserveBet3,12.0,10,6.0,9,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
90,ConserveBet3,12.0,10,6.0,7,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
91,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
92,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
93,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
94,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
95,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
96,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
97,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
98,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
99,ConserveBet3,12.0,10,6.0,10,26.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
100,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
101,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
102,ConserveBet3,12.0,10,6.0,7,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
103,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
104,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
105,ConserveBet3,12.0,10,6.0,8,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
106,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
107,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
108,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
109,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
110,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
111,ConserveBet3,12.0,10,6.0,10,22.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
112,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
113,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
114,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
115,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
116,ConserveBet3,12.0,10,6.0,10,20.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
117,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
118,ConserveBet3,12.0,10,6.0,10,20.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
119,ConserveBet3,12.0,10,6.0,6,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
120,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
121,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
122,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
123,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
124,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
125,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
126,ConserveBet3,12.0,10,6.0,6,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
127,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
128,ConserveBet3,12.0,10,6.0,10,30.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
129,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
130,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
131,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
132,ConserveBet3,12.0,10,6.0,7,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
133,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
134,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
135,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
