Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
41,4BetAllInAt12Dollars,12.0,10,12.0,5,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
42,4BetAllInAt12Dollars,12.0,10,12.0,5,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
43,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
44,4BetAllInAt12Dollars,12.0,10,12.0,10,39.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
45,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
46,4BetAllInAt12Dollars,12.0,10,12.0,7,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
47,4BetAllInAt12Dollars,12.0,10,12.0,8,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
48,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
49,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
50,4BetAllInAt12Dollars,12.0,10,12.0,9,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
51,4BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
52,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
53,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
54,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
55,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
56,4BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
57,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
58,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
59,4BetAllInAt12Dollars,12.0,10,12.0,8,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
60,4BetAllInAt12Dollars,12.0,10,12.0,6,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
61,4BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
62,4BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
63,4BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
64,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
65,4BetAllInAt12Dollars,12.0,10,12.0,6,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
66,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
67,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
68,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
69,4BetAllInAt12Dollars,12.0,10,12.0,6,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
70,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
71,4BetAllInAt12Dollars,12.0,10,12.0,8,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
72,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
73,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
74,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
75,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
76,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
77,4BetAllInAt12Dollars,12.0,10,12.0,8,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
78,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
79,4BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
80,4BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
81,4BetAllInAt12Dollars,12.0,10,12.0,7,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
82,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
83,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
84,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
85,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
86,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
87,4BetAllInAt12Dollars,12.0,10,12.0,6,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
88,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
89,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
90,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
91,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
92,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
93,4BetAllInAt12Dollars,12.0,10,12.0,10,15.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
94,4BetAllInAt12Dollars,12.0,10,12.0,10,21.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
95,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
96,4BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
97,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
98,4BetAllInAt12Dollars,12.0,10,12.0,8,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
99,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
