Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
36,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
37,5BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
38,5BetAllInAt12Dollars,12.0,10,12.0,5,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
39,5BetAllInAt12Dollars,12.0,10,12.0,10,19.2,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
40,5BetAllInAt12Dollars,12.0,10,12.0,3,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
41,5BetAllInAt12Dollars,12.0,10,12.0,1,7.2,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
42,5BetAllInAt12Dollars,12.0,10,12.0,2,7.2,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
43,5BetAllInAt12Dollars,12.0,10,12.0,2,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
44,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
45,5BetAllInAt12Dollars,12.0,10,12.0,2,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
46,5BetAllInAt12Dollars,12.0,10,12.0,10,19.2,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
47,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
48,5BetAllInAt12Dollars,12.0,10,12.0,9,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
49,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
50,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
51,5BetAllInAt12Dollars,12.0,10,12.0,4,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
52,5BetAllInAt12Dollars,12.0,10,12.0,5,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
53,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
54,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
55,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
56,5BetAllInAt12Dollars,12.0,10,12.0,3,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
57,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
58,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
59,5BetAllInAt12Dollars,12.0,10,12.0,1,7.2,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
60,5BetAllInAt12Dollars,12.0,10,12.0,2,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
61,5BetAllInAt12Dollars,12.0,10,12.0,8,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
62,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
63,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
64,5BetAllInAt12Dollars,12.0,10,12.0,3,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
65,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
66,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
67,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
68,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
69,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
70,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
71,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
72,5BetAllInAt12Dollars,12.0,10,12.0,10,14.4,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
