Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
93,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
94,1BetAllInAt12Dollars,12,10,12,6,0,FISH:12.0
95,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
96,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
97,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
98,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
99,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
100,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
101,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
102,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
103,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
104,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
105,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
106,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
107,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
108,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
109,1BetAllInAt12Dollars,12,10,12,4,0,FISH:12.0
110,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
111,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
112,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
113,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
114,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
115,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
116,1BetAllInAt12Dollars,12,10,12,10,108,FISH:12.0
117,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
118,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
119,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
120,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
