Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
45,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
46,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
47,ConserveBet4,12.0,10,6.0,2,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
48,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
49,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
50,ConserveBet4,12.0,10,6.0,6,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
51,ConserveBet4,12.0,10,6.0,10,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
52,ConserveBet4,12.0,10,6.0,7,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
53,ConserveBet4,12.0,10,6.0,3,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
54,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
55,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
56,ConserveBet4,12.0,10,6.0,3,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
57,ConserveBet4,12.0,10,6.0,10,16.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
58,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
59,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
60,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
61,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
62,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
63,ConserveBet4,12.0,10,6.0,7,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
64,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
65,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
66,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
67,ConserveBet4,12.0,10,6.0,4,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
68,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
69,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
70,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
71,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
72,ConserveBet4,12.0,10,6.0,6,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
73,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
74,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
75,ConserveBet4,12.0,10,6.0,6,1.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
76,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
77,ConserveBet4,12.0,10,6.0,10,16.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
78,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
79,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
80,ConserveBet4,12.0,10,6.0,8,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
81,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
82,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
83,ConserveBet4,12.0,10,6.0,5,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
84,ConserveBet4,12.0,10,6.0,6,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
85,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
86,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
87,ConserveBet4,12.0,10,6.0,3,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
88,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
89,ConserveBet4,12.0,10,6.0,2,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
90,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
91,ConserveBet4,12.0,10,6.0,3,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
92,ConserveBet4,12.0,10,6.0,6,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
93,ConserveBet4,12.0,10,6.0,10,24.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
94,ConserveBet4,12.0,10,6.0,10,16.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
95,ConserveBet4,12.0,10,6.0,7,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
96,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
97,ConserveBet4,12.0,10,6.0,3,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
98,ConserveBet4,12.0,10,6.0,4,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
99,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
100,ConserveBet4,12.0,10,6.0,10,6.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
101,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
102,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
103,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
104,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
105,ConserveBet4,12.0,10,6.0,8,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
106,ConserveBet4,12.0,10,6.0,2,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
107,ConserveBet4,12.0,10,6.0,5,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
108,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
109,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
110,ConserveBet4,12.0,10,6.0,7,1.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
111,ConserveBet4,12.0,10,6.0,3,1.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
112,ConserveBet4,12.0,10,6.0,5,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
113,ConserveBet4,12.0,10,6.0,10,19.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
114,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
115,ConserveBet4,12.0,10,6.0,10,21.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
116,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
117,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
118,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
119,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
120,ConserveBet4,12.0,10,6.0,10,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
121,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
122,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
123,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
