Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
64,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
65,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
66,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
67,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
68,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
69,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
70,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
71,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
72,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
73,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
74,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
75,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
76,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
77,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
78,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
79,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
80,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
81,ConserveBet2,12.0,10,6.0,9,3.0,CRAB:3.0|FISH:3.0
82,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
83,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
84,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
85,ConserveBet2,12.0,10,6.0,9,3.0,CRAB:3.0|FISH:3.0
86,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
87,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
88,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
89,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
90,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
91,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
92,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
93,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
94,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
95,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
96,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
97,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
98,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
99,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
